# ID|Name|Type|Rarity|Int|% In Lair|Treasure|Alignment|Number|AC|Move|HD|# Attacks|Damage|Spec Att|Spec Def|Magic Res|Size|Psi|PsiAttDef|XP|Armor|Weapon
3132|Qullan|Humanoid|Rare|Low (5-7)|10%|10% of A|9|1-6|10|12|2|1|5-11|Special|Special|Standard|L (8'+)|Nil|Nil|73+2|Nil|Nil 
3133|Rat - Osquip|Magical Beast|Uncommon|Animal (1)|80%|D|5|2-24|7|12, Br 1/2|3+1|1|2-12|Nil|Nil|Standard|S (2')|Nil|Nil|60+4|Nil|Nil 
3134|Retriever|Monster|Very Rare|Low (5-7)|10%|Z|9|1|-2|19|10|4|3-18(x4)|Eye rays|Nil|Standard|L (12')|Nil|Nil|4950+14|Nil|Nil 
3135|Revenant|Undead|Very Rare|Special|0%|Nil|5|1|10|9|8|1|2-16|Paralysis|Special|Special|M|Nil|Nil|1275+10|Nil|Nil 
3136|Rothe|Animal|Uncommon|Animal (1)|40%|Nil|5|2-20|7|9|2|3|1-3(x2)/1-8|Nil|Nil|Standard|M (4')|Nil|Nil|20+2|Nil|Nil 
3137|Sandman|Outsider|Rare|Average (8-10)|20%|100-2000 gp|8|1-6|3|9|3|Nil|Nil|Sleep|Special|20%|M|Nil|Nil|215+4|Nil|Nil 
3138|Scarecrow|Construct|Very Rare|Non (0)|0%|Nil|8|1-6|6|6|5|1|1-6 + special|Charm|Nil|Standard|M|Nil|Nil|165+5|Nil|Nil 
3139|Screaming Devilkin|Monstrous Humanoid|Rare|Low (5-7)|20%|M|7|1-4|2|12|3|1|1-6|Scream|Nil|Standard|S (3')|Nil|Nil|90+3|Nil|Nil 
3140|Shadow Demon|Outsider|Very Rare|Very (11-12)|0%|Nil|9|1|9, 5, or 1|12|7+3|3|1-8/1-6(x2)|Special|Special|Special|M|Nil|Nil|825+10|Nil|Nil 
3141|Sheet Ghoul|Undead|Very Rare|Average (8-10)|0%|Nil|9|1|2|9|4+2|3|1-3(x2)/1-6|Acid squirt|Special|Standard|M|Nil|Nil|170+5|Nil|Nil 
3142|Sheet Phantom|Undead|Very Rare|Average (8-10)|0%|Nil|9|1|3|6|3|1|1-4|Suffocation|Nil|Standard|Special|Nil|Nil|105+4|Nil|Nil 
3143|Shocker|Outsider|Rare|Semi (2-4)|0%|15% 1-4 gems|6|6-24|0 or 10|9|1+2|11|10 hp each|Special|Special|Special|M|Nil|Nil|65+2|Nil|Nil 
3144|Skeleton - Warrior|Undead|Very Rare|Exceptional (15-16)|90%|A|8|1|2|6|9+2 to 9+12|1|By weapon|+3 to attacks|Special|90%|M|Nil|Nil|2550+14 to 3700+16|Nil|Nil 
3145|Skulk|Humanoid|Rare|Average (8-10)|40%|A|9|1-8|7|12|2|1|By weapon|Nil|Camouflage|Standard|M|Nil|Nil|36+2|Nil|Nil 
3146|Slaad - Blue|Outsider|Rare|Low (5-7)|35%|Z|6|2-12|5|7|8+4|5|2-16/2-12(x4)|Special|Special|40%|L (10')|47|Nil/FG|2000+12|Nil|Nil 
3147|Slaad - Death|Outsider|Very Rare|Genius (17-18)|50%|Zx4|6|1-2|-4|12|15+7|3 or 2|2-20/3-18(x2) or 1-8(x2) +bonus|Special|+2 to hit|75%|M (6')|207|All/All|13250+20|Nil|Nil 
3148|Slaad - Green|Outsider|Rare|Average (8-10)|50%|C,F,G|6|1-6|3|9|9+3|3|2-16/3-8(x2)|Special|+1 to hit|50%|L (7'+)|76|BD/Nil|4350+14|Nil|Nil 
3149|Slaad - Grey|Outsider|Very Rare|High (13-14)|20%|Special|6|1-2|1|12|10+6|3 or 2|2-16/4-10(x2) or 1-8(x2) +bonus|Special|+1 to hit|55%|M (6')|160|ACD/FGH|6200+16|Nil|Nil 
3150|Slaad - Lord - Ssendam (Lord of the Insane)|Outsider|Very Rare|Supra-genius (19-20)|30%|Ax4,Fx2|6|1|-6|16, Fl 19|197 hp|3 or 1|2-16(x3) or special|Energy drain; Spells|+3 to hit; Regeneration; Spells|85%|M|379|All/All|28695|Nil|Nil 
3151|Slaad - Lord - Ygorl (Lord of Entropy)|Outsider|Very Rare|Supra-genius (19-20)|75%|Px4,Zx2|6|1|-7|18|210 hp|2|Special|Special|+3 to hit|85%|L|379|All/All|28950|Nil|Nil 
3152|Slaad - Red|Outsider|Rare|Low (5-7)|30%|F|6|3-18|6|6, Jp 9|7|3|1-4(x2)/2-16|Special|Regeneration|35%|L (8')|Nil|Nil|875+8|Nil|Nil 
3153|Snyad (Pestie)|Humanoid|Uncommon|Low (5-7)|95%|J|5|1-8|-4|21|1-1|Nil|Nil|Nil|Special|Standard|S (2.5')|Nil|Nil|7+1|Nil|Nil 
3154|Son of Kyuss|Undead|Very Rare|Low (5-7)|0%|Nil|9|1-3|10|9|4|1|1-8|Special|Regeneration|Standard|M|Nil|Nil|215+4|Nil|Nil 
3155|Sussurus|Monster|Very Rare|Low (5-7)|100%|Nil|5|1|4|15|8|2|1-8(x2)|Hug|Nil|Standard|L|Unknown|Unknown|550+10|Nil|Nil 
3156|Tabaxi (Cat man)|Monstrous Humanoid|Rare|Average (8-10)|15%|Special|6|2-8|6|15|2|3 |1-3(x3) or by weapon|Nil|Nil|Standard|M (6.5')|Nil|Nil|20+2|Nil|Nil 
3157|Tentamort|Monster|Rare|Non (0)|95%|Nil|5|1-10|3 (head: 1)|1|8|2|1-6(x2)|Constriction; Paralysation; Special|Nil|Standard|S|Nil|Nil|475+6|Nil|Nil 
3158|Terithran|Outsider|Very Rare|Low to Average (5-10)|Nil (100%)|Special|5|1|3 (6)|15 (18)|5+1|2|2-5(x2)|Special|+1 or silver to hit|50%|S (4')|Nil|Nil|575+6|Nil|Nil 
3159|Thoqqua (Rock Worm)|Outsider|Very Rare|Low (5-7)|80%|10-60 gems|5|1-2|2|12, Br 3|3|2|4-32/2-12|Heat|Fire attacks heal|Standard|S|Nil|Nil|65+3|Nil|Nil 
3160|Thork|Magical Beast|Very Rare|Animal (1)|90%|1-20 pp|5|1-6|3|6, Sw 6|3|1|1-6|Breath weapon|Nil|Standard|L (9')|Nil|Nil|90+3|Nil|Nil
3161|Tiger Fly|Monster|Rare|Non (0)|40%|B|5|3-18|4 or 9|6, Fl 18|6 (male), 4 (famale), 1-1 (larva)|3 or 1|1-8(x2)/4-24, 4-16, or 2-8|Poison; Paralysation|Nil|Standard|M (5')|Nil|Nil|275+6, 125+4, or 10+1|Nil|Nil 
3162|Tirapheg|Monster|Very Rare|Average (8-10)|20%|Nil|5|1|10|3|2|3|1-4(x3)|Strangle|Illusions|Standard|M (7')|Nil|Nil|73+2|Nil|Nil 
3163|Trilloch|Outsider|Very Rare|Animal (1)|0%|Nil|5|1|N/A|12|N/A|NA|Nil|Nil|Undetectable|Special|NA|Unknown|Unknown|NA|Nil|Nil 
3164|Troll - Giant|Giant|Rare|Low (5-7)|30%|C|9|1-12|4|12|8|1|2-16|Nil|Regeneration|Standard|L (10'+)|Nil|Nil|725+10|Nil|Nil 
3165|Troll - Giant - Two-Headed|Giant|Very Rare|Average (8-10)|40%|D,Q|9|1-3|4|12|10|4|1-6(x2)/1-10(x2)|Nil|Regeneration|Standard|L (10'+)|Nil|Nil|1800+14|Nil|Nil 
3166|Troll - Ice|Giant|Rare|Semi (2-4)|10%|D (no magic)|9|1-6|8|9|2|2|1-8(x2)|Nil|+1 to hit; Regeneration; Immune to cold|Standard|L (9')|Nil|Nil|44+2|Nil|Nil 
3167|Troll - Spirit|Giant|Very Rare|Very (11-12)|0%|Nil|9|1-2|2|15|5+5|3|1-6/1-3(x2)|Strength drain|+1 to hit; Regeneration; Immune to cold; Invisibility|30%|L (8'+)|Nil|Nil|575+6|Nil|Nil 
3168|Tween|Outsider|Very Rare|Very (11-12)|0%|Nil|5|1 (1-3)|10|Varies|1|1|By weapon|Nil|Etherealness|Standard|M|Nil|Nil|14+1|Nil|Nil 
3169|Umpleby|Monster|Very Rare|Low (5-7)|0%|Special|5|1|4|9|6|1|1-4|Electric Shock|Immune to electricity|Standard|L (8'+)|Nil|Nil|350+6|Nil|Nil 
3170|Urchin - Black|Animal|Uncommon|Semi (2-4)|10%|Special|5|1-6|4|9, Sw 15|1+1|1|1-6|Nil|Nil|Standard|S (3')|Nil|Nil|28+2|Nil|Nil 
3171|Urchin - Green|Animal|Rare|Semi (2-4)|10%|Special|5|1-4|3|9, Sw 18|2+1|2|2-7(x2)|Nil|Nil|Standard|S (3')|Nil|Nil|50+3|Nil|Nil 
3172|Urchin - Red|Animal|Rare|Semi (2-4)|10%|Special|5|1-4|2|9, Sw 18|3+1|3|2-5(x3)|Venom|Nil|Standard|S (3')|Nil|Nil|85+4|Nil|Nil 
3173|Urchin - Silver|Animal|Very Rare|Semi (2-4)|10%|Special|5|1-2|0|12, Sw 21|5+3|5|2-5(x5)|Venom|Nil|Standard|S (3')|Nil|Nil|400+6|Nil|Nil 
3174|Urchin - Yellow|Animal|Very Rare|Semi (2-4)|10%|Special|5|1-3|1|12, Sw 18|4+2|4|1-6(x4)|Nil|Nil|Standard|S (3')|Nil|Nil|205+5|Nil|Nil 
3175|Vision|Monster|Very Rare|High (13-14)|0%|Nil|7|1|0 (10)|15|8|Nil|Nil|Aging|Semi-Ethereal; Immune to normal weapons and missiles|75%|M|Nil|Nil|825+10|Nil|Nil 
3176|Vodyanoi|Monster|Rare|Average (8-10)|30%|G|9|1-3|2|6|8|3|3-12(x2)/1-10|Nil|Special|Standard|L (8')|Nil|Nil|650+10|Nil|Nil 
3177|Volt|Monster|Uncommon|Animal (1)|10%|Nil|5|2-24|3|6|2+1|2|1-4/2-12|Nil|Immune to electricity|Standard|S (2')|Nil|Nil|50+3|Nil|Nil 
3178|Vortex|Monster|Very Rare|Non (0)|0%|Nil|6|1-8|0|Fl 15|2+2|1|Special|Nil|Nil|Standard|Varies|Nil|Nil|50+3|Nil|Nil 
3179|Whipweed|Monster|Uncommon|Semi (2-4)|50%|Nil|5|1-2|6 (4)|3|2+4 (base: 1+4)|2|1-10(x2)|Special|Nil|Standard|Varies|Nil|Nil|120+4|Nil|Nil 
3180|Witherstench|Magical Beast|Rare|Semi (2-4)|20%|B|5|3-12|7|6|2+2|2|1-6(x2)|Nil|Special|Standard|S (4')|Nil|Nil|65+3|Nil|Nil 
3181|Witherweed|Plant|Uncommon|Non (0)|100%|Special|5|1|8|0|3 to 7|Varies|Special|Special|Nil|Standard|Varies|Nil|Nil|90+3 to 275+6|Nil|Nil 
3182|Xill|Monster|Very Rare|Very (11-12)|15%|C|7|1-6|0|15|5|4|1-4(x4) or by weapon|Special|Special|70%|M|Nil|Nil|325+5|Nil|Nil 
3183|Xvart|Humanoid|Uncommon|Average (8-10)|40%|K|9|40-400|7|6|1-1|1|2-5 or by weapon|Nil|Nil|Standard|S (3')|Nil|Nil|5+1|Nil|Nil 
3184|Yellow Musk Creeper|Plant|Rare|Non (0)|100%|Any|5|1|7|0|3|2-12|Special|Nil|Nil|Standard|L|Nil|Nil|65+3|Nil|Nil 
3185|Zombie - Yellow Musk|Plant|Rare|Non (0)|0%|Nil|8|1-2|Varies|12|2|1|By weapon|Nil|Nil|Special|M|Nil|Nil|28+2|Nil|Nil 
