# ID|Name|Type|Rarity|Int|% In Lair|Treasure|Alignment|Number|AC|Move|HD|# Attacks|Damage|Spec Att|Spec Def|Magic Res|Size|Psi|PsiAttDef|XP|Armor|Weapon
2125|Dracolisk|Dragon|Very Rare|Low to Average (5-10)|35%|C,I|9|1-2|3|9, Fl 15 (E)|7+3|3|1-6(x2)/3-12|Breath weapon; Gaze weapon|Nil|Standard|L (15-20')|Nil|Nil|2200+12|Nil|Nil 
2126|Dragon - Cloud|Dragon|Very Rare|Genius (17-18)|25%|R,T,X,Z|5|1-2|0 or -3|6, Fl 39|12 to 14|4|1-10(x2)/3-36/3-12|Breath weapon; Magic use|Magic use|Standard or 50%|L (66')|Nil|Nil|6100+10 (+100/hp over 48)|Nil|Nil 
2127|Dragon - Mist|Dragon|Rare|Exceptional (15-16)|35%|X,Y,Z|5|1 or 2|1 or -2|6, Fl 33|9 to 11|4|1-4(x2)/2-24/2-8|Breath weapon; Magic use|Magic use|Standard or 30%|L (51')|Nil|Nil|3450+5 (+50/hp over 36)|Nil|Nil 
2128|Dragon - Shadow|Dragon|Very Rare|Very to Genius (11-18)|40%|Special|8|1 or 2|-2|18, Fl 24 (E)|4+1 to 6+1|3|2-5(x2)/3-12|Special|Special|20%|L (20-30')|Nil|Nil|245+5|Nil|Nil
2129|Dragon Horse|Monster|Rare|Average to Exceptional (8-16)|0%|Nil|2|1 or 2-3 (15%)|0|24, Fl 48 (B)|8|2|1-8(x2)|Breath; Spells|Special|25%|L (6')|Nil|Nil|1275+10|Nil|Nil 
2130|Dragonfly - Giant|Vermin|Rare|Low (5-7)|0%|Nil|5|1-6|3|1, Fl 36 (B)|7 to 9|1|3-12 (4-16)|+2 on initiative|Special|Save as 16th level MU|M|Nil|Nil|525+8|Nil|Nil 
2131|Dragonnel|Dragon|Very Rare|Semi (2-4)|10%|Nil|8|1-4|3|12, Fl 18 (C, Mounted: D)|8+4|3|1-6(x2)/4-16|Nil|Nil|Standard|L (24'+)|Nil|Nil|600+12|Nil|Nil 
2132|Drelb (Haunting Custodian)|Undead|Very Rare|Average to Very (8-12)|100%|Special|8|1|2|6|5+3|1|3-12|Chill|Special|Standard|M|Special|Special|800+6|Nil|Nil 
2133|Drider|Monster|Very Rare|High (13-14)|0%|Nx2,Q|9|1-4|3|12|6+6|1|1-4 or by weapon|Spells; Paralyzation|Nil|15%|L|Nil|Nil|875+8|Nil|Nil 
2134|Dustdigger|Monster|Uncommon|Semi (2-4)|0%|Nil|5|1-20|4|3|4|1|1-8 + AC of victim|Illusion; Mirage|Nil|Standard|L|Nil|Nil|165+4|Nil|Nil 
2135|Dwarf - Derro|Humanoid|Very Rare|Very to Genius (11-18)|20%|Special|9|3-30|Varies|9|3|1 or 2|By weapon|Special|Special|30%|S (4')|Individuals only|Individuals only|Variable|Nil|Nil 
2136|Dwarf - Duergar|Humanoid|Very Rare|Average to Genius (8-18)|5%|M,O (F,B (magic only )|7|2-8 (201-300)|4|6|1+2|1 or more|By weapon|Special|Save at +4|Standard|S (4')|71-90 (2/level)|BCD/FGH|Variable|Nil|Nil 
2137|Eagle|Animal|Rare|Animal (1)|20%|Special|5|1-2 (5-12)|6|1, Fl 30 (C)|1+3|3|1-2(x3)|Special|Special|Standard|M (6')|Nil|Nil|35+2|Nil|Nil 
2138|Eblis|Magical Beast|Very Rare|Low to Exceptional (5-16)|50%|Special|8|4-16|3|12, Fl 12 (C)|4+4|4|1-4|Special|Special|Standard|M (8')|Nil|Nil|165+5|Nil|Nil 
2139|Eel - Electric|Animal|Rare|Non (0)|0%|Nil|5|1|6|Sw 9|6 to 8|1|2-8, 3-12, or 4-16|Electrical discharge|Electrical discharge|Standard|L (20-40')|Nil|Nil|400+8|Nil|Nil 
2140|Elemental - Para - Ice|Outsider|Very Rare|Low (5-7)|0%|Nil|5|1|3|6|8 to 16|1|3-36|Cold|+1 to hit|Standard|L|Nil|Nil|2850+15|Nil|Nil 
2141|Elemental - Para - Magma|Outsider|Very Rare|Low (5-7)|0%|Nil|5|1|3|6|8 to 16|1|4-24|Special|+1 to hit|Standard|L|Nil|Nil|2850+15|Nil|Nil 
2142|Elemental - Para - Ooze|Outsider|Very Rare|Low (5-7)|0%|Nil|5|1|3|Fl 36 (A)|8 to 16|1|2-16|Special|+1 to hit|Standard|L|Nil|Nil|2850+15|Nil|Nil 
2143|Elemental - Para - Smoke|Outsider|Very Rare|Low (5-7)|0%|Nil|5|1|3|6, Fl 18|8 to 16|Special|2-16|Special|+1 to hit|Standard|L|Nil|Nil|2850+15|Nil|Nil 
2144|Elemental - Quasi - Lightning|Outsider|Very Rare|Low (5-7)|0%|Nil|6|1|2|Fl 18 (A)|6 to 12|1|2-7 per HD|Special|Special|Special|S|Nil|Nil|1000+15|Nil|Nil 
2145|Elemental - Time|Outsider|Very Rare|Very to Supra-genius (11-20)|0%|Nil|5|1|2|1|12 to 20|1|3-12, 4-16, or 5-20|Special|+3 to hit|Standard|S|Nil|Nil|3000+20|Nil|Nil 
2146|Elephant - Oliphant|Animal|Rare|Low (5-7)|0%|Nil|5|1-8|4|15|8+4 or 10+5|4|3-12(x4)|Special|Nil|Standard|L (8')|Nil|Nil|600+12|Nil|Nil 
2147|Elf - Grugach|Humanoid|Very Rare|Average and up (8+)|50%|N,O|6|20-80|6|15|1+1|1|By weapon|+1 with bow or spear|Traps|90% to charm and sleep|S (4.5')|Nil|Nil|65+2|Nil|Nil 
2148|Elf - Valley|Humanoid|Very Rare|High and Up (13+)|10%|M,N (G,S,T)|6|10-40 (20-240)|4|12|1+2|1|1-10 or by weapon|+1 with bow or sword|Special|90% to charm and sleep|M (5.5'+)|Nil|Nil|65+2|Nil|Nil 
2149|Executioner's Hood|Monster|Rare|Semi (2-4)|0%|Nil|5|1|6|6|2+2 to 6+6|1|1-4|Surprise on 1-3|Immune to sleep spells|Standard|S-M (1-3')|Nil|Nil|320+8|Nil|Nil 
2150|Faerie Dragon|Dragon|Very Rare|High to Genius (13-18)|25%|S,T,U|3|1-6|5 (1)|6, Fl 24 (A)|1/4 to 4|1|1-2|Breath weapon; Magic use|Invisibility|Special|S (1-1.5')|Nil|Nil|280+4|Nil|Nil 
2151|Falcon (Hawk) - Large|Animal|Uncommon|Animal (1)|30%|Special|5|1-2|6|1, Fl 33|1|3|1-2(x2)/1|Special|Special|Standard|S (3-4'+)|Nil|Nil|25+1|Nil|Nil 
2152|Falcon (Hawk) - Small|Animal|Rare|Animal (1)|30%|Special|5|1-2|5|1, Fl 36|1-1|3|1(x3)|Special|Special|Standard|S (2-3')|Nil|Nil|15+1|Nil|Nil 
2153|Firefriend|Magical Beast|Very Rare|Low (5-7)|0%|Nil|2|1-4|4|3, Fl 15 (B)|1+4|1|1-2|Special|Immune to electrical and fire attacks|Standard|S (1'+)|Nil|Nil|36+2|Nil|Nil 
2154|Fly - Giant - Bluebottle|Vermin|Rare|Non (0)|0%|Nil|5|1-10|6|9, Fl 30 (D)|3|1|1-8|Special|Jump|Standard|M|Nil|Nil|35+3|Nil|Nil 
2155|Fly - Giant - Horsefly|Vermin|Very Rare|Non (0)|0%|Nil|5|1-4|5|6, Fl 27 (D)|6|1|2-16|Special|Jump|55%|L|Nil|Nil|150+6|Nil|Nil 
2156|Foo Creature - Dog|Outsider|Rare|Very (11-12)|0%|Nil|3|2-8|9|27|7+7|3|2-5(x2)/1-12|Special|Special|45%|M|Nil|Nil|1200+12|Nil|Nil 
2157|Foo Creature - Lion|Outsider|Very Rare|Exceptional (15-16)|0%|Nil|3|1-4|-1|21|11+11|3|2-8(x2)/2-16|Special|Special|55%|L|Nil|Nil|2850+16|Nil|Nil 
2158|Forester's Bane (Snapper-Saw)|Plant|Very Rare|Non (0)|0%|Nil|5|1-2 |4 (stalks), 7 (leaves), 9 (bush)|Nil|5|3 to 6|2-5 each|Special|Nil|Standard|L|Nil|Nil|165+5|Nil|Nil 
2159|Formian - Myrmarch|Monster|Very Rare|Exceptional (15-16)|100%|Nil|4|5-8|1|15|6+6|2|2-8/1-2|Poison|Nil|Standard|L|Nil|Nil|400+8|Nil|Nil 
2160|Formian - Warrior|Monster|Very Rare|Low (5-7)|50%|Nil|4|21-40|2|15|3+3|4|1-6/1-4/1|Poison|Nil|Standard|M|Nil|Nil|150+4|Nil|Nil
2161|Formian - Worker|Monster|Rare|Low (5-7)|20%|Nil|4|100-400|3|18|1+1|1|1-4|Nil|Nil|Standard|S|Nil|Nil|20+2|Nil|Nil 
2162|Froghemoth|Monster|Very Rare|Animal (1)|40%|Special|5|2|2 (tentacles), 4 (body), 6 (tongue)|2, Sw 8, 4 in swamp|16|1-4|5-50 or 9-12|Special|Special|Special|L (18')|Nil|Nil|8100+20|Nil|Nil 
2163|Galeb Duhr|Monster|Very Rare|Very (11-12)|15%|Qx3, X|5|1-4|-2|6|8 to 10|2|2-16, 3-18, or 4-24|Special|Special|20%|L (8-12')|Nil|Nil|2000+12|Nil|Nil 
2164|Giant - Firbolg|Giant|Very Rare|Average to Genius (8-18)|45%|Mx10,Q (E,Y)|3|1-4 (4-16)|2|15|13+ 2-7|1|By weapon +10|Special|Special|15%|L (10.5')|Nil|Nil|3650+18|Nil|Nil 
2165|Giant - Formorian|Giant|Uncommon|Average (8-10)|45%|D,Qx10|8|1-4|3|9|13+ 1-3|1|4-32|Nil|Special|Standard|L (13.5')|Nil|Nil|2750+18|Nil|Nil 
2166|Giant - Verbeeg|Giant|Uncommon|Average to Very (8-12)|30%|K,L,Mx5 (B)|8|1-2 (1-6 or 5-30)|4 or better|18|5+5|2|By weapon +strength|Throw spears for 1-6 +strength|Special|Standard|L (8.5-10')|Nil|Nil|275+6|Nil|Nil 
2167|Gibbering Mouther|Monster|Very Rare|Semi (2-4)|95%|Q|5|1|1|3, Fl 6|4+3|6 or more|1(x6) +1 per round|Spit; Babble; Savs vs. confusion|Control ground density in 5'|Standard|M|Nil|Nil|210+5|Nil|Nil 
2168|Gloomwing|Magical Beast|Rare|Animal (1)|0%|Nil|5|1|1|Fl 12 (D)|5+1|3|1-3(x2)/1-8|Pheromone|Confusion|Standard|M (8')|Nil|Nil|525+6|Nil|Nil 
2169|Goat|Animal|Uncommon|Animal (1)|0%|Nil|5|5-20|7|15|1+2|1|1-3|Charge|Nil|Standard|M|Nil|Nil|24+2|Nil|Nil 
2170|Gorgimera|Monster|Very Rare|Semi (2-4)|25%|F|9|1|5 (2)|12, Fl 15 (E)|10|5|1-3(x2)/2-8/2-12/3-12|Breath weapons (x2)|Nil|Standard|L (5')|Nil|Nil|2557+14|Nil|Nil 
2171|Grim|Monster|Very Rare|Average (8-10)|0%|Nil|2|1|0|18, Fl 36 (C)|4+ 2-8|Special|Special|Special|Special|25%|M|Nil|Nil|285+5|Nil|Nil 
2172|Grippli|Monstrous Humanoid|Rare|Very to Exceptional (11-16)|30%|Qx4,I|5|1-10 (5-30)|9|9, Cl 15|1+1|1|1-4 or by weapon|Surprise on 1-4|Nil|Standard|S (2.5')|151-250|AC/GJ|45+2|Nil|Nil 
2173|Grue - Elemental - Chaggrin|Outsider|Very Rare|Low to Average (5-10)|Nil (20%)|(C,Qx5)|8|1 (2-5)|4|12, Br 3|5+5|2|3-6(x2)|Special|+1 to hit; Immune to earth-based magic|Standard|S|Nil|Nil|425+6|Nil|Nil 
2174|Grue - Elemental - Harginn|Outsider|Very Rare|Average to High (8-14)|Nil (15%)|(Ix1/2)|8|1 (2-8)|3|15|4+4|1|5-8|Special|+1 to hit; Immune to fire-based spells|Standard|M|Nil|Nil|245+5|Nil|Nil 
2175|Grue - Elemental - Ildriss|Outsider|Very Rare|Low to Very (5-12)|Nil (10%)|(Qx2,X)|8|1 (2-8)|2|3, Fl 24 (A)|4|1|3-12|Special|+2 to hit; Immune to air-based spells|Standard|M|Nil|Nil|245+5|Nil|Nil 
2176|Grue - Elemental - Varrdig|Outsider|Very Rare|Semi to Average (2-10)|Nil (20%)|(Fx1/2)|8|1-3 (2-5)|5|6, Sw 18|6+6|2 or 1|4-16 or 1-4(x2)|Special|+1 to hit; Immune to water-based spells|Standard|M|Nil|Nil|650+8|Nil|Nil 
2177|Hag - Annis|Monstrous Humanoid|Very Rare|Low to Exceptional (5-16)|20%|D|9|1-3|0|15|7+3 to 7+12|3|9-16(x2)/3-9|Grappling|100% vs. illusions/phantasm magic only|Standard|L (7.5-8')|Nil|Nil|1300+10|Nil|Nil 
2178|Hag - Green|Monstrous Humanoid|Very Rare|Low to Very (5-12)|40%|Mx100,Nx10,Qx5,X|8|1|-2|12, Sw 12|9|2|7-8(x2)|Special|Special|35%|M|Nil|Nil|1600+122|Nil|Nil 
2179|Hangman Tree|Plant|Very Rare|Low (5-7)|0%|Incidental|8|1|3 (5)|0|61 hp/year|3|1-3|Special|Special|1% per year of age|L (20'+)|Nil|Nil|1600+8|Nil|Nil 
2180|Haunt|Undead|Very Rare|Non (0)|0%|Nil|5|1|0 or as victim|6 or as victim|5 or as victim|1|Special|Possession|Special|Special|M|Nil|Nil|165+5|Nil|Nil 
2181|Hollyphant|Outsider|Rare|Genius (17-18)|0%|Nil|1|1-3|-4|9, Fl 42 (B)|8+8|2|1-3(x2)|Special|Special|60%|S (2'+)|201-300|All/All|3750+14|Nil|Nil 
2182|Hordling (Hordes of Hades)|Outsider|Very Rare|Semi to Very (2-12)|0%|(C)|8|1 (1-6)|3 to 0|6 to 15|6+3 to 9|Varies|Varies|Special|+1 to hit; Special|0 to 30%|S-L|Nil|Nil|525+8 to 1400+12|Nil|Nil 
2183|Hybsil|Fey|Rare|Average to Very (8-12)|30%|I|1|10-60|7|15|1-1|1|1-4 or by weapon|Nil|+4 to saves|Standard|S (3')|Nil|Nil|22+1|Nil|Nil 
2184|Jann|Outsider|Very Rare|Very to Exceptional (11-16)|0%|Nil|2|1-2 (10% 1-8)|5 or better|12, Fl 30 (A)|6+2|1|By weapon +strength|Special|Nil|20%|M (6-7')|Nil|Nil|975+8|Nil|Nil 
2185|Jelly - Mustard|Ooze|Rare|Average (8-10)|35%|Special|5|1|4|9|7+14|1 or 2|5-20 ot 2-8(x2)|Special|+1 to score effective damage|10%|L (9-12')|Nil|Nil|825+18|Nil|Nil 
2186|Kampfult|Plant|Very Rare|Low (5-7)|35%|Special|8|1|4|3|2|6|1|Surprise on 1-3|Nil|Standard|S|Nil|Nil|36+2|Nil|Nil 
2187|Kech|Monster|Rare|Average (8-10)|30%|B|8|2-8|4|15|5|3|2-5(x2)/1-6|Surprise on 5-6|Camouflage|Standard|M|Nil|Nil|205+5|Nil|Nil 
2188|Korred|Fey|Very Rare|Very (11-12)|1%|E|6|1-4|5|9|6+1|I|5-6 or by weapon|Hurl rocks (2-16)|Laugh|25%|S (3')|Nil|Nil|900+8|Nil|Nil 
2189|Kraken|Magical Beast|Very Rare|Genius to Supra-genius (17-20)|75%|G,R,S|8|1|5/0|Sw 3, Jet 21|20|2 or 5-7|2-12(x2) or 2-8(x4-6)/5-20|Special|Special|Standard|L|Nil|Nil|16900+30|Nil|Nil 
2190|Lammasu - Greater|Monster|Very Rare|Supra-genius (19-20)|0%|Nil|1|1-2|3|15, Fl 30 (B)|12+7|2|2-12(x2)|Special|Special|40%|L (5')|Nil|Nil|3950+18|Nil|Nil 
2191|Lamprey - Land|Animal|Uncommon|Non (0)|0%|Nil|5|2-12|7|12|1+2|1|1 hp/round|Drain blood; Encumber|Nil|Standard|S|Nil|Nil|36+2|Nil|Nil 
2192|Lycanthrope - Foxwoman|Humanoid|Very Rare|Average to Exceptional (8-16)|25%|E,Qx5,S|9|1|2, 4, or 6|24, 18, or 12|8+1|1|1-2, 2-12, or By weapon|Charm; Spells|+1 or silver to hit|Standard|M|Nil|Nil|1700+12|Nil|Nil
2193|Lycanthrope - Seawolf - Greater|Humanoid|Very Rare|Low to High (5-14)|0%|Nil|9|4-16|5|9, Sw 27|9+2|1 or 2|3-12 or 1-2/by weapon|Nil|+1, silver, or cold iron to hit|Standard|L (12-15') or M|Nil|Nil|900+12|Nil|Nil 
2194|Lycanthrope - Seawolf - Lesser|Humanoid|Very Rare|Average (8-10)|0%|Nil|8|3-18|6 (7)|30, Sw 12|2+2|1 or 3|2-8 or 1-2(x2)/1-4|Nil|Nil|Standard|M (6-7')|Nil|Nil|60+3|Nil|Nil 
2195|Lycanthrope - Wereshark|Humanoid|Very Rare|Low to Exceptional (5-16)|20%|Nil|8|1|0|12, Sw 21|10+3|1|5-20|Nil|+1 or silver to hit|Standard|L|Nil|Nil|1500+14|Nil|Nil 
2196|Magman|Outsider|Very Rare|Low (5-7)|0%|Nil|6|2-24|6|9, Br 6|2|1|3-24|+1 to hit; Combustion touch|Immune to fire-based attacks|Standard|S (3')|Nil|Nil|97+2|Nil|Nil 
2197|Mandragora|Plant|Very Rare|Low to Average (5-10)|45%|Special|8|3-18|5|12, Br 6|1+1 or 2+2|2|1-4(x2)|Strangulation|Special|20%|S (1-2')|Nil|Nil|Variable|Nil|Nil 
2198|Mantis - Giant|Vermin|Rare|Non (0)|0%|Nil|5|1|3|6, Fl 12 (D)|10|1|2-12 or 3-12|Special|Camouflage|Standard|L (12')|Nil|Nil|1350+14|Nil|Nil 
2199|Mantrap|Plant|Very Rare|Non (0)|100%|J-Nx5,Q|5|1-2|6|Nil|4 to 9|2-5|Special|Special|Nil|Standard|L (3' per die)|Nil|Nil|275+6|Nil|Nil 
2200|Margoyle|Monstrous Humanoid|Rare|Low (5-7)|30%|Q (C)|9|2-8|2|6, Fl 12 (C)|6|4|1-6(x2)/2-8(x2)|Special|+1 to hit|Standard|M|Nil|Nil|350+6|Nil|Nil 
2201|Marid|Outsider|Very Rare|High to Genius (13-18)|0%|Nil|6|1|0|9, Fl 15 (B), Sw 24|13|1|8-32|Special|Special|25%|L (18')|Nil|Nil|5000|Nil|Nil 
2202|Mastiff - Shadow|Outsider|Uncommon|Semi (2-4)|20%|Nil|8|4-16|6|18 (9 in bright light)|4|1|2-8|Baying causes panic|Hide in shadows; -1 HP/die in bright light|Standard|M|Nil|Nil|185+4|Nil|Nil 
2203|Mihstu|Monster|Very Rare|High (13-14)|10%|I|8|1-4|-2|6, Fl 6 (B)|8+2|4|2-7(x4)|Constitution drain|+2 to hit|10%|M (6')|Nil|Nil|1700+12|Nil|Nil 
2204|Miner|Monster|Rare|High (13-14)|40%|G|5|1|4|3, Br 6|10|Special|Special|Special|Nil|Standard|L|Nil|Nil|1000+14|Nil|Nil 
2205|Minimal|Animal|Very Rare|Animal to Semi (1-4)|40%|J,K,L,M or N plus 5% for magic|6|As animal|As base +2|2/3 base|As base *1/4|As base|As base (3-6 max)|+1 surprise chance|-1 chance to surprise|+2 to saves|1/2 base|Nil|Nil|Variable|Nil|Nil 
2206|Mist - Crimson Death|Monster|Very Rare|Genius (17-18)|60%|Z|8|1|0 (4)|Fl 12 (B), (Fl 6 after feeding)|13|1|3-30|Special|Special|100%|M|Nil|Nil|7050+18|Nil|Nil 
2207|Modron - Base - Duodrone|Outsider|Common|Low (5-7)|0%|Nil|4|1-12|6|9, Fl 9 (E), Sw 9|2+2|2|2-5(x2) or by weapon|Nil|Immune to illusions and mind control|Standard|S (4-6')|Nil|Nil|50+3|Nil|Nil 
2208|Modron - Base - Monodrone|Outsider|Common|Semi (2-4)|0%|Nil|4|12-144|7|6, Fl 18 (D), Sw 6|1+1 or 1-1|1|1-4 or by weapon|Nil|Immune to illusions and mind control|Standard|S (3-6')|Nil|Nil|28+2|Nil|Nil 
2209|Modron - Base - Pentadrone|Outsider|Rare|Very (11-12)|0%|Nil|4|1|3|18, Fl 6|5+5|5|5-8(x5)|Paralysis gas|Special|Standard|M|Nil|Nil|350+7|Nil|Nil 
2210|Modron - Base - Quadrone|Outsider|Uncommon|Very (11-12)|0%|Nil|4|1-4|4|15, Fl 15 (D)|4+4|4 or 2|4-7(x4) or 6-9(x2) or by weapon|Attacks as 8 HD |Immune to illusions and mind control|Standard|M|Nil|Nil|165+5|Nil|Nil 
2211|Modron - Base - Tridrone|Outsider|Uncommon|Average (8-10)|0%|Nil|4|1-4|5|12|3+3|3|3-6(x3)|Nil|Immune to illusions and mind control|Standard|M|Nil|Nil|84+4|Nil|Nil 
2212|Modron - Hierarch - Decaton|Outsider|Rare|High (13-14)|0%|Nil|4|1 (of 100)|2|15, Fl 3 (E), Sw 9|10+10|10|1-4(x10)|Spell use|+2 to hit|10%|M (7')|Nil|Nil|2550+14|Nil|Nil 
2213|Modron - Hierarch - Hepton|Outsider|Very Rare|Exceptional (15-16)|0%|Nil|4|1 (of 49)|1|9, Sw 9|13+13|7|1-10(x7)|Special|+2 to hit|40%|M|Nil|Nil|8250+18|Nil|Nil 
2214|Modron - Hierarch - Hexon|Outsider|Very Rare|Genius (17-18)|0%|Nil|4|1 (of 36)|-2|12, Fl 12 (C), Sw 12|14+14|6|2-13(x6)|Special|+3 to hit|50%|L|Nil|Nil|8250+18|Nil|Nil 
2215|Modron - Hierarch - Nonaton|Outsider|Rare|High (13-14)|0%|Nil|4|1 (of  81)|0|18, Fl 18|11+11|9|1-6(x9)|Spell use|+2 to hit|20%|L|199|All/All|5250+16|Nil|Nil 
2216|Modron - Hierarch - Octon|Outsider|Rare|Exceptional (15-16)|0%|Nil|4|1 (of 64)|1|9, Fl 9 (B), Sw 9|12+12|8|1-8(x8)|Special|+2 to hit|30%|L (7-10')|Nil; Immune to psionics|Nil|5250+16|Nil|Nil 
2217|Modron - Hierarch - Quarton|Outsider|Very Rare|Supra-genius (19-20)|0%|Nil|4|1 (of 16)|-4|12, Fl 24 (B), Sw 12|16+16|4|4-26(x4)|Special|+3 to hit|70%|L|Nil|Nil|10950+20|Nil|Nil 
2218|Modron - Hierarch - Quinton|Outsider|Very Rare|Genius (17-18)|0%|Nil|4|1 (or 25)|-3|6, Fl 6 (C), Sw 6|15+15|5|3-17(x5)|Special|+3 to hit|60%|L|Nil|Nil|10950+20|Nil|Nil 
2219|Modron - Hierarch - Secundus|Outsider|Very Rare|Godlike (21+)|0%|Nil|4|1 (of 4)|-6|18 (in all enviornments, B)|18+18|2|6-72(x2)|Special|+4 to hit|90%|L|300-310|All/All|15200+25|Nil|Nil 
2220|Modron - Hierarch - Tertian|Outsider|Very Rare|Supra-genius (19-20)|0%|Nil|4|1 (of 9)|-5|12|17+17|3|5-40(x3)|Special|+4 to hit|80%|L|Nil|Nil|15200+25|Nil|Nil 
2221|Modron - Primus (The One and the Prime)|Outsider|Unique|Godlike (21+)|0%|Nil|4|1|-10|24 (in all enviornments, A)|220 hp|1|20-160 + special|Special|+5 to hit|100%|L|365|All/All|32500|Nil|Nil 
2222|Mold - Russet|Plant|Very Rare|Non (0)|0%|Nil|5|1|9|0|12-16 hp/10 sqft|0|0|Spores|Special|Special|S-L|Nil|Nil|Nil|Nil|Nil 
2223|Mongrelman|Monstrous Humanoid|Rare|Low to Average (5-10)|35%|C|4|1-100|5|9|1 to 4|1|1-4, 1-6, 1-8, 1-10, or by weapon|Nil|Camouflage|Standard|M|Nil|Nil|20+1 to 110+4|Nil|Nil 
2224|Muckdweller|Magical Beast|Rare|Average (8-10)|40%|Q (J-N)|7|5-20|6|3, Sw 12|1/2|1|1-2|Water jet|Nil|Standard|S|Nil|Nil|7+1|Nil|Nil
2225|Mud-man|Monstrous Humanoid|Very Rare|Non (0)|100%|Nil|5|2-12|10|3|2|1|Nil|Mud-throwing|+1 to hit; Spell immunities|Standard|S (4')|Nil|Nil|28+2|Nil|Nil 
2226|Myconid (Fungus Man)|Plant|Rare|Average (8-10)|70%|Sx2|4|1-12 (20-200)|10|9|1 to 6|1|1-4 per HD|Spore cloud|Poisonous skin|Standard|S-L (2' per HD)|Nil|Nil|14+1 to 425+6|Nil|Nil 
2227|Narwhale|Animal|Rare|Animal (1)|0%|Nil|5|1-6|6|Sw 21|4+4 to 6+6|1|2-24, 6-24, or 7-28|Nil|Nil|Standard|L|Nil|Nil|190+6|Nil|Nil 
2228|Nereid|Fey|Very Rare|Very (11-12)|100%|X|6|1-4|10|12|4|Nil|Nil|Spit; Controls water in lair|Kiss; Mesmerize men|50%|M|Nil|Nil|200+4|Nil|Nil 
2229|Obliviax (Memory Moss)|Plant|Rare|Average (8-10)|100%|Nil|8|2-12|10|Nil|1/4|Nil|Nil|Special|Special|Standard|S (1/2')|Nil|Nil|30+1|Nil|Nil 
2230|Ogre - Aquatic (Merrow)|Giant|Uncommon|Low to Average (5-10)|20%|A|9|2-24|4|6, Sw 12|4+4|3 or 1|1-6(x2)/2-8 or by weapon|Special|Camouflage|Standard|L (9')|Nil|Nil|130+6 or 250+6|Nil|Nil 
2231|Ooze - Crystal Ooze|Ooze|Rare|Animal (1)|0%|Nil|5|1-2|8|1, Sw 3|4|1|4-16|Special|Special|Special|M-L|Nil|Nil|225+4|Nil|Nil 
2232|Ophidian|Monster|Uncommon|Low to Very (5-12)|Special|Special|9|3-12|5 or better|9, Sw 18|3 to 4|2|1-3/by weapon|Special|Special|Standard|M|Nil|Nil|125+4|Nil|Nil 
2233|Opinicus|Magical Beast|Very Rare|Very to Exceptional (11-16)|10%|A|3|1-2|-2|21, Fl 30 (B)|7+7|4|1-3(x2)/1-6(x2)|Special|Special|35%|M|205-250|All/All|2300+12|Nil|Nil 
2234|Otter|Animal|Uncommon|Animal (1)|20%|Nil|5|1-4|5|12, Sw 18|1-1 or 1+1|1|1-2 or 1-3|Nil|Nil|Standard|S |Nil|Nil|5+1|Nil|Nil 
2235|Owl|Animal|Uncommon|Animal (1)|10%|Nil|5|1 or 2|5|1, Fl 27 (D)|1|3|1-2(x2)/1|Special|Special|Standard|S (4-5')|Nil|Nil|30+1|Nil|Nil 
2236|Pech|Outsider|Rare|Average to Exceptional (8-16)|5%|Special|2|5-20 (10-40)|3|9|4|1|By weapon +3|Special|Special|25%|S (4')|Nil|Nil|240+4|Nil|Nil 
2237|Pedipalp - Giant|Vermin|Very Rare|Non (0)|20%|I|5|1-2|2|6|4+4|3|1-8(x2)/2-8|Poison gas; Grip|Nil|Standard|L|Nil|Nil|170+5|Nil|Nil 
2238|Pedipalp - Huge|Vermin|Rare|Non (0)|10%|Ox4,T|5|1-4|4|9|2+2|3|1-6(x2)/1-8|Grip|Nil|Standard|S|Nil|Nil|5-+3|Nil|Nil 
2239|Pedipalp - Large|Vermin|Rare|Non (0)|5%|M,Ox2|5|1-4|7|12|1+1|1|1-8|Nil|Nil|Standard|S|Nil|Nil|20+2|Nil|Nil 
2240|Phantom|Undead|Very Rare|Non (0)|0%|Nil|5|1|Nil|9|Nil|Nil|Nil|Fear|Nil|Special|M|Nil|Nil|Nil|Nil|Nil 
2241|Phoenix|Outsider|Very Rare|Genius (17-18)|0%|Special|2|1 (1-4)|-3|6, Fl 39 (D)|20|1 or 2|2-12 or 1-8(x2)|Special|Special|50%|M|Special|Special|8600+30|Nil|Nil 
2242|Phycomid|Plant|Rare|Unratable|80%|Incidental|8|1-4|5|3|4|2|3-6(x2)|Infection|Special|Special|S (2')|Nil|Nil|280+5|Nil|Nil 
2243|Planetar|Outsider|Very Rare|Supra-genius (19-20)|0|Nil|2|1|-7|15, Fl 48 (B), Sw 24|144 hp|3|By weapon +7|Special|Special|75%|L (8.5')|288|All/All|60000+35|Nil|Nil 
2244|Pseudo-Undead|Monstrous Humanoid|Uncommon|Low to Average (5-10)|50%|A|8|Special|Special|Special|Special|Special|Special|Nil|Special|Standard|M|Nil|Nil|Variable|Nil|Nil 
2245|Pudding - Deadly - Brown|Ooze|Uncommon|Non (0)|0%|Nil|5|1 (1-4)|5|6|11|1|5-20|Special|Special|Standard|S-L (3-8')|Nil|Nil|1600+16|Nil|Nil 
